FECHA_DESEMBOLSO;PRODUCTO;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;IFI;TIPO_IFI;MONTO_CREDITO;MONTO_CUOTA_INICIAL;PLAZOS;TASA;MONTO_VALOR_VIVIENDA;FECHA_CORTE
20240228;FCTP;PIURA;PIURA;26 DE OCTUBRE;200115;Continental;Banco;42195;8000;120;15;95000;20250108
20240207;NMIV;LIMA;LIMA;SANTIAGO DE SURCO;150140;BANCO PICHINCHA;Banco;136092.09;61907.91;240;10.3;223000;20250108
20240222;NMIV;LIMA;LIMA;COMAS;150110;Interbank;Banco;162208.1;20200;240;9.94;202000;20250108
20240222;NMIV;PIURA;PIURA;26 DE OCTUBRE;200115;BANBIF;Banco;95000;20000;240;10.95;140000;20250108
20240222;NMIV;LIMA;LIMA;BRENIA;150105;Scotiabank;Banco;177950;99750;132;9.6;285000;20250108
20240222;NMIV;CALLAO;CALLAO;CALLAO;70101;Scotiabank;Banco;260100;68200;240;9;341000;20250108
20240226;NMIV;ICA;ICA;LA TINGUINIA;110102;BANCO PICHINCHA;Banco;82100;11500;120;10.5;115000;20250108
20240228;NMIV;LIMA;LIMA;INDEPENDENCIA;150112;Credito;Banco;160760;46440;280;8.65;232200;20250108
20240228;NMIV;LIMA;LIMA;LIMA;150101;Credito;Banco;276970.4;32185.6;240;9.6;321856;20250108
20240208;FCTP;LIMA;LIMA;CARABAYLLO;150106;Continental;Banco;55087.5;30000;120;13.15;128400;20250108
20240208;FCTP;LIMA;LIMA;CARABAYLLO;150106;Continental;Banco;59407.5;25680;120;15;128400;20250108
20240229;FCTP;ICA;CHINCHA;CHINCHA ALTA;110201;CMAC Ica;CMAC;25354.1;3561.4;299;13.5;71228;20250108
20240228;FCTP;ICA;ICA;ICA;110101;CMAC Ica;CMAC;22695;36300;120;13.5;102800;20250108
20240228;FCTP;ICA;CHINCHA;CHINCHA ALTA;110201;CMAC Ica;CMAC;32003.5;3912;240;13.5;78228;20250108
20240226;NMIV;LA LIBERTAD;TRUJILLO;VICTOR LARCO HERRERA;130111;BANCO PICHINCHA;Banco;124900;25500;240;10.8;170000;20250108
20240226;NMIV;LIMA;LIMA;COMAS;150110;Continental;Banco;155000;45000;180;9.3;225000;20250108
20240226;NMIV;LIMA;LIMA;COMAS;150110;Continental;Banco;130925;17325;300;8.99;173250;20250108
20240226;NMIV;LIMA;LIMA;SAN JUAN DE LURIGANCHO;150132;Continental;Banco;243860;64140;300;8.6;320700;20250108
20240226;NMIV;LIMA;LIMA;COMAS;150110;Continental;Banco;283220;32880;300;9.1;328800;20250108
20240228;FCTP;ICA;CHINCHA;CHINCHA ALTA;110201;CMAC Ica;CMAC;33746.5;4004;180;13.5;80063;20250108
20240228;FCTP;ICA;ICA;ICA;110101;CMAC Ica;CMAC;53855;5140;144;13.5;102800;20250108
20240220;FCTP;ICA;ICA;ICA;110101;CMAC Ica;CMAC;47680;4815;130;13.5;96300;20250108
20240220;FCTP;ICA;ICA;ICA;110101;CMAC Ica;CMAC;47453;8742;120;13.5;100000;20250108
20240221;FCTP;ICA;ICA;ICA;110101;CMAC Ica;CMAC;50585;8410;180;13.5;102800;20250108
20240226;NMIV;LIMA;LIMA;SAN JUAN DE LURIGANCHO;150132;Continental;Banco;252440;29460;240;8.6;294600;20250108
