FECHA_DESEMBOLSO;PRODUCTO;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;IFI;TIPO_IFI;MONTO_CREDITO;MONTO_CUOTA_INICIAL;PLAZOS;TASA;MONTO_VALOR_VIVIENDA;FECHA_CORTE
20240408;NMIV;LA LIBERTAD;TRUJILLO;VICTOR LARCO HERRERA;130111;Interbank;Banco;134306.70;17100.00;240.00;10.48;171000.00;20250108
20240408;NMIV;LIMA;LIMA;CHORRILLOS;150108;BANBIF;Banco;212450.00;45250.00;240.00;9.99;265000.00;20250108
20240408;NMIV;LIMA;LIMA;ATE;150103;Interbank;Banco;170758.50;21150.00;240.00;9.57;211500.00;20250108
20240408;NMIV;LIMA;LIMA;MAGDALENA DEL MAR;150120;Interbank;Banco;256938.70;29111.10;300.00;9.43;291111.00;20250108
20240408;NMIV;LIMA;LIMA;ATE;150103;Interbank;Banco;63603.15;119800.00;60.00;10.30;203000.00;20250108
20240409;NMIV;JUNIN;HUANCAYO;HUANCAYO;120101;Continental;Banco;194100.00;17400.00;240.00;9.60;232000.00;20250108
20240409;NMIV;CALLAO;CALLAO;CALLAO;070101;Interbank;Banco;200810.00;40000.00;240.00;9.47;254400.00;20250108
20240409;NMIV;AREQUIPA;AREQUIPA;CERRO COLORADO;040104;Interbank;Banco;301115.05;34300.00;240.00;9.40;343000.00;20250108
20240409;NMIV;ICA;ICA;LA TINGUINIA;110102;CMAC Huancayo;CMAC;72600.00;15000.00;120.00;12.68;110000.00;20250108
20240409;NMIV;ICA;ICA;LA TINGUINIA;110102;CMAC Huancayo;CMAC;80100.00;22500.00;240.00;12.68;125000.00;20250108
20240409;NMIV;LIMA;LIMA;PUENTE PIEDRA;150125;Credito;Banco;119747.00;36562.00;120.00;10.71;182809.00;20250108
20240409;NMIV;CALLAO;CALLAO;CALLAO;070101;Credito;Banco;188480.00;25860.00;240.00;10.31;234840.00;20250108
20240409;NMIV;LA LIBERTAD;TRUJILLO;TRUJILLO;130101;Credito;Banco;165260.00;46440.00;120.00;10.99;232200.00;20250108
20240409;NMIV;LIMA;LIMA;LINCE;150116;Credito;Banco;180340.00;25160.00;180.00;9.75;232000.00;20250108
20240409;NMIV;LIMA;LIMA;CHORRILLOS;150108;BANBIF;Banco;166849.83;21483.31;300.00;9.15;214833.14;20250108
20240409;NMIV;CALLAO;CALLAO;VENTANILLA;070106;EMPRESA DE CREDITO VIVELA S.A.;Edpyme;93100.00;18000.00;120.00;10.00;139500.00;20250108
20240409;NMIV;LIMA;LIMA;CHORRILLOS;150108;Scotiabank;Banco;252900.00;43500.00;240.00;8.95;310000.00;20250108
20240409;NMIV;LIMA;LIMA;SAN JUAN DE LURIGANCHO;150132;Continental;Banco;258020.00;30180.00;240.00;8.90;301800.00;20250108
20240409;NMIV;LIMA;LIMA;PUEBLO LIBRE;150121;Continental;Banco;295910.00;34390.00;240.00;9.00;343900.00;20250108
20240404;NMIV;LIMA;LIMA;COMAS;150110;Continental;Banco;115686.50;15798.50;240.00;8.90;157985.00;20250108
20240404;NMIV;LIMA;LIMA;COMAS;150110;Continental;Banco;69990.00;30000.00;300.00;9.70;128390.00;20250108
20240409;NMIV;LIMA;LIMA;SAN JUAN DE LURIGANCHO;150132;Continental;Banco;138900.00;150000.00;120.00;8.90;302500.00;20250108
20240409;NMIV;LAMBAYEQUE;CHICLAYO;PIMENTEL;140112;CMAC Huancayo;CMAC;98000.00;53712.00;240.00;11.62;172212.00;20250108
20240409;NMIV;JUNIN;HUANCAYO;HUANCAYO;120101;CMAC Huancayo;CMAC;99500.00;40000.00;84.00;11.22;160000.00;20250108
20240409;NMIV;PIURA;PIURA;26 DE OCTUBRE;200115;CMAC Huancayo;CMAC;89100.00;75001.69;120.00;12.68;184601.69;20250108
20240409;NMIV;LA LIBERTAD;TRUJILLO;VICTOR LARCO HERRERA;130111;Interbank;Banco;89954.45;19650.00;300.00;9.91;131000.00;20250108
20240415;NMIV;LIMA;LIMA;RIMAC;150128;Credito;Banco;180500.00;23200.00;120.00;9.99;230200.00;20250108
20240415;NMIV;LAMBAYEQUE;CHICLAYO;LA VICTORIA;140106;BANCO PICHINCHA;Banco;80600.00;17000.00;120.00;10.34;120000.00;20250108
